,Theta1,Theta2,Omega1,Omega2,x1_true,y1_true,x2_true,y2_true,Theta1_pred,Theta2_pred,Omega1_pred,Omega2_pred,x1_pred,y1_pred,x2_pred,y2_pred
26,2.14525,41.873154,3.6610076,20.410892,0.22389178,0.14491847,-0.0050854534,0.28166026,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
27,3.912377,18.672857,-1.7405201,-16.949423,-0.1858094,0.19132107,-0.23269008,-0.07122624,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
28,3.5097673,76.9122,-2.0299935,20.392307,-0.095988795,0.24882732,0.1702808,0.23368183,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
29,4.5285745,17.606798,-5.403906,8.421114,-0.26220706,0.04874773,-0.5146856,-0.037179496,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
30,3.5644603,18.012499,-8.375167,-4.89839,-0.10944759,0.24320798,-0.30751917,0.06461196,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
31,2.867414,62.764996,9.5187645,25.01734,0.07221072,0.2567382,0.05439311,-0.009365976,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
32,3.3258903,48.94224,-1.1240268,20.891806,-0.048874408,0.2621835,-0.3074439,0.19683272,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
33,5.073511,22.359982,5.1081448,-3.0132792,-0.2494981,-0.09423157,-0.34565067,0.15453252,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
34,1.4885489,17.505966,4.729346,12.027318,0.26579845,-0.021910671,0.0059528053,-0.08198665,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
35,2.85485,23.168049,8.988495,10.83574,0.07543058,0.2558107,-0.17084575,0.35816723,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
36,2.0641723,20.128881,-8.226596,14.42498,0.2348931,0.12630962,0.4903443,0.04967036,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
37,4.910191,16.652138,-0.81428516,8.06237,-0.26149958,-0.05241048,-0.47753006,0.10398553,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
38,3.5087261,73.39936,-7.9469347,25.625057,-0.09572967,0.24892713,-0.33836535,0.3596377,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
39,3.073561,57.25008,0.4777951,20.55841,0.01813006,0.26608306,0.19023083,0.06234251,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
40,2.9315305,35.33178,-8.581073,22.723177,0.055612475,0.26083738,-0.1308608,0.45151144,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
