,Time,X,Y,Z,Time,X,Y,Z,Time,X,Y,Z,Time,X,Y,Z
0,0.0,9.200346066718371,3.9902409989915215,9.997345852477583,0.0,9.103833929461318,3.8540991112682246,10.215567582466255,0.0,0.34595767693178514,8.939252076296283,5.309195187938138,0.0,0.19355256543841745,9.131347103584577,4.994762490470869
1,0.002,9.100374815420432,4.311176383808736,10.01992553497593,0.002,8.905929772722287,4.621099199256319,9.251740556862288,0.002,0.5161204694364958,8.940956817513184,5.288647256801252,0.002,0.39723380725593715,8.862521341684337,5.015728088134797
2,0.004,9.008692621649331,4.627574157722148,10.047346905081532,0.004,8.8806475870607,4.58543964802031,10.04255186198052,0.004,0.6830239405518812,8.95032416529155,5.271220297679468,0.004,0.5337897545677539,8.890969871742682,5.04546459319721
3,0.006,8.925047753041405,4.939660177216918,10.079461237336995,0.006,8.860346949928632,5.015778742863992,9.549722866308786,0.006,0.846882853642932,8.967203697555975,5.256856750915623,0.006,0.9303733144046236,8.945194074602924,5.249766604420374
4,0.008,8.84919787757558,5.24765452216296,10.116139710402816,0.008,8.604021142170833,5.084578423947093,10.748344986887561,0.008,1.0079048070160317,8.991451621841085,5.245510133366252,0.008,1.267438484895188,8.746079741472801,6.369624890361969
5,0.01,8.78090975829755,5.551771029506715,10.15727213269877,0.01,8.622422524026591,5.562732365832266,9.812617086466682,0.01,1.1662905055454034,9.022930618573282,5.237144441536932,0.01,0.9298292837946684,9.378891829848975,5.058696956111123
6,0.012,8.71995894551492,5.852216891039662,10.202765750328513,0.012,8.943200976774817,5.9174880049009815,9.80827141095954,0.012,1.3222340236323329,9.06150966520885,5.231733609384896,0.012,1.4445837702166107,8.769191037789792,5.466591652750303
7,0.014,8.66612946768072,6.149192306340372,10.252544132633584,0.014,8.52388468066438,6.2463694333715605,9.999101108976951,0.014,1.4759230592961017,9.107063843531376,5.229261017094392,0.014,1.2033252085128254,9.398133090340695,4.998738226663552
8,0.016,8.619213522012936,6.442890182804878,10.306546130585852,0.016,8.631806991991281,6.6544011258613756,9.926004751519981,0.016,1.6275391792704639,9.159474132161005,5.229719047095476,0.016,1.5998759692330538,9.33841663308012,5.137674720149982
9,0.018000000000000002,8.579011165700843,6.733495875806691,10.36472490342272,0.018000000000000002,8.726720877325914,6.78408473201338,10.359060722974672,0.018000000000000002,1.7772580550052135,9.218627185943154,5.233108683959049,0.018000000000000002,1.718641319221586,9.330928135719455,4.774351141214922
